customer_id,name_match,taxid_match,address_match,overall_confidence,action
CUST0001,none,none,none,0.81,link
CUST0002,none,none,nearby,0.8,no_match
CUST0003,none,none,none,0.3,no_match
CUST0004,none,none,none,0.42,no_match
CUST0005,none,exact,none,0.32,link
CUST0006,fuzzy,none,nearby,0.31,no_match
CUST0007,none,exact,none,0.7,no_match
CUST0008,none,none,exact,0.38,no_match
CUST0009,none,none,none,0.85,no_match
CUST0010,exact,none,nearby,0.89,link
CUST0011,fuzzy,none,none,0.41,link
CUST0012,exact,none,nearby,0.79,link
CUST0013,none,none,none,0.41,no_match
CUST0014,none,none,none,0.24,link
CUST0015,none,none,none,0.77,link
CUST0016,exact,none,none,0.5,hold_review
CUST0017,none,none,nearby,0.96,no_match
CUST0018,fuzzy,exact,exact,0.71,no_match
CUST0019,none,none,exact,0.37,no_match
CUST0020,none,exact,none,0.57,link
CUST0021,exact,none,none,0.28,no_match
CUST0022,none,exact,none,0.97,link
CUST0023,none,none,none,0.42,link
CUST0024,fuzzy,exact,none,0.39,no_match
